Inicio de sesión| Jchofy| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T20:22:32.079852900
Nueva incidencia creada| Nombre del usuario Jchofy |Fecha de creación:2022-04-21T20:22:41.204871400
Nueva incidencia creada| Nombre del usuario Jchofy |Fecha de creación:2022-04-21T20:23:13.501710100
Cierre de sesión| Jchofy| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T20:23:15.359880300
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T22:43:51.574154400
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T22:44:08.230080700
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T22:44:14.002275200
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T22:50:43.157583500
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T22:51:23.469365100
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T22:52:50.688417900
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T22:53:18.995576100
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T23:05:33.149135500
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T23:05:34.954588
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T23:09:20.032897800
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T23:09:38.179027200
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T23:13:47.565862400
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T23:14:33.514840600
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T23:22:26.138928900
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T23:22:32.074912600
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T23:25:41.216757700
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T23:25:54.610739700
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T23:31:16.187899600
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T23:31:19.800242700
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T23:33:04.461585700
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T23:33:10.595149500
Inicio de sesión| Manuel| TÉCNICO |Fecha de inicio de sesion:2022-04-21T23:36:07.163668800
Cierre de sesión| Manuel| TÉCNICO |Fecha de cierre de sesion:2022-04-21T23:36:08.727870700
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-21T23:36:55.296793700
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-21T23:36:56.932337500
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-22T00:06:39.819093500
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-22T00:06:56.423370500
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-22T00:08:35.267091100
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-22T00:08:40.323765800
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-22T00:12:17.324885600
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-22T00:12:21.290882200
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-22T00:12:51.165063600
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-22T00:12:52.767454800
Inicio de sesión| Juan| ADMIN |Fecha de inicio de sesion:2022-04-22T00:17:59.272060800
Inicio de sesión| Juan| ADMIN |Fecha de inicio de sesion:2022-04-22T00:18:52.832724400
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-22T00:21:50.438899600
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-22T00:21:56.850424400
Inicio de sesión| Juan| ADMIN |Fecha de inicio de sesion:2022-04-22T00:22:04.595538700
Inicio de sesión| Alejandro| USUARIO NORMAL |Fecha de inicio de sesion:2022-04-22T00:24:13.210299700
Cierre de sesión| Alejandro| USUARIO NORMAL |Fecha de cierre de sesion:2022-04-22T00:24:17.641610700
Inicio de sesión| Juan| ADMIN |Fecha de inicio de sesion:2022-04-22T00:24:23.158755600
Inicio de sesión| Juan| ADMIN |Fecha de inicio de sesion:2022-04-22T00:39:45.084055600
Inicio de sesión| Juan| ADMIN |Fecha de inicio de sesion:2022-04-22T00:41:54.768026600
Inicio de sesión| Juan| ADMIN |Fecha de inicio de sesion:2022-04-22T10:50:53.831985100
